ID;Code;Name;Coordinates;Description;Zone ID;URL;Location Type;Parent Station ID;Timezone;Wheelchair Boarding
1121;;Chaudron;-20.888951,55.490064;;;;0;;;
1130;;Technopole;-20.902685,55.501722;;;;0;;;
1132;;Futura;-20.89806,55.475991;;;;0;;;
1220;;Aéroport R. Garros;-20.89229,55.51252;;;;0;;;
1231;;Lastic-La Mare;-20.893549,55.533617;;;;0;;;
1232;;Eglise Ste-Marie;-20.896448,55.555662;;;;0;;;
1252;;Pôle D'échanges Duparc;-20.897657,55.521077;;;;0;;;
1321;;Rond Point La Marine;-20.915932,55.619888;;;;0;;;
2030;;Super U;-20.944355,55.328512;;;;0;;;
2123;;Gervais Barret;-20.93981,55.304853;;;;0;;;
2130;;Les Vilebrequins;-20.944781,55.316702;;;;0;;;
2220;;Pont De L'étang;-20.987732,55.28984;;;;0;;;
2230;;Hôpital G. Martin;-21.014954,55.266935;;;;0;;;
2232;;Cambaie;-20.96384,55.294515;;;;0;;;
2330;;Les Aigrettes;-21.038431,55.219252;;;;0;;;
2530;;Pointe Au Sel;-21.200188,55.284905;;;;0;;;
2531;;Gendarmerie De St-Leu;-21.179791,55.288242;;;;0;;;
2533;;RDT Colimaçons;-21.140864,55.285016;;;;0;;;
2622;;RDT Portail;-21.217277,55.298593;;;;0;;;
2624;;Quatre Robinets;-21.195796,55.292541;;;;0;;;
2632;;Chemin Boussole;-21.228275,55.327778;;;;0;;;
2634;;Ravine Des Avirons;-21.244635,55.316046;;;;0;;;
4033;;Sentier Des Pêcheurs;-21.237626,55.330975;;;;0;;;
4050;;Mairie Avirons;-21.241904,55.332841;;;;0;;;
4131;;Les Sables;-21.28001,55.375421;;;;0;;;
4210;;Gare St-Louis;-21.2897667,55.4066889;;;;0;;;
1031;;Félix Guyon;-20.88875,55.446675;;;;0;;;
4220;;Hôpital De St-Louis;-21.285343,55.406145;;;;0;;;
1230;;Gillot;-20.895638,55.510627;;;;0;;;
4332;;Chemin Vimbaye;-21.296303,55.442826;;;;0;;;
12521;;Pôle D'échanges Duparc;-20.897657,55.521077;;;;0;;;
4430;;Mairie Ann. Mont-Vert;-21.313964,55.542567;;;;0;;;
1320;;Cimetière;-20.903527,55.601712;;;;0;;;
4520;;Croisée Petite-Ile;-21.367439,55.568488;;;;0;;;
1350;;Ecole Quartier Français;-20.92857,55.63478;;;;0;;;
4531;;R. Ancienne Usine;-21.330153,55.56678;;;;0;;;
1351;;H. De Ville Ste-Suzanne;-20.907111,55.608223;;;;0;;;
4550;;Eglise Petite-Ile;-21.353588,55.565025;;;;0;;;
2020;;Mairie De La Possession;-20.926131,55.336261;;;;0;;;
6050;;Office Du Tourisme;-21.249797,55.469062;;;;0;;;
2110;;P. Echanges Le Port;-20.93854,55.297196;;;;0;;;
6120;;Université Du Tampon;-21.270707,55.507583;;;;0;;;
2120;;R.N.7;-20.954291,55.309305;;;;0;;;
6130;;Village Du 14ème;-21.251506,55.520893;;;;0;;;
2122;;Clinique Flamboyants;-20.947125,55.304005;;;;0;;;
6136;;Piton Terre Rouge;-21.305232,55.535226;;;;0;;;
2322;;La Saline Les Bains;-21.093905,55.236695;;;;0;;;
6150;;Bourg Du 23ème;-21.220682,55.553019;;;;0;;;
2323;;Filaos St-Gilles;-21.075455,55.227602;;;;0;;;
6230;;Manapany Les Bains;-21.372966,55.594754;;;;0;;;
2325;;RDT Plateau Caillou;-21.019342,55.264695;;;;0;;;
6436;;Poste Basse Vallée;-21.371466,55.711655;;;;0;;;
2331;;Maison Bourbon;-21.065444,55.224034;;;;0;;;
8110;;Ecole Ravine Glissante;-21.1386056,55.8078306;;;;0;;;
2420;;Souris Chaude;-21.122104,55.262055;;;;0;;;
